                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 2.2418,                  2.564,                 2.0787,                 0.3623,                0.11111,                0.06809,                0.02495,                 2.2231,                 2.7924,                 2.1818,              0.0012092,              0.0012092,              0.0012092
                     35,                 2.2596,                 2.6111,                  2.111,                0.35646,                0.10523,                0.06581,                0.02566,                 2.2605,                 2.7805,                 2.1555,              0.0012079,              0.0012079,              0.0012079
                     36,                 2.2335,                 2.6121,                 2.1027,                0.37677,                0.11022,                0.07208,                0.02977,                 2.2457,                 2.7633,                 2.1328,              0.0012067,              0.0012067,              0.0012067
                     37,                 2.1876,                 2.5436,                 2.0442,                0.39312,                 0.1028,                0.08392,                0.03384,                 2.1309,                 2.5611,                 2.0825,              0.0012055,              0.0012055,              0.0012055
                     38,                 2.1917,                 2.5348,                 2.0372,                   0.11,                0.12246,                0.06694,                0.02638,                 2.1654,                 2.7165,                 2.1285,              0.0012042,              0.0012042,              0.0012042
                     39,                  2.209,                 2.4482,                 2.0291,                0.34618,                0.12389,                 0.0639,                0.02652,                 2.2021,                  2.604,                 2.1546,               0.001203,               0.001203,               0.001203
                     40,                 2.1922,                 2.5439,                 2.0352,                 0.3501,                0.11628,                0.07524,                0.03227,                 2.1707,                  2.468,                 2.0971,              0.0012017,              0.0012017,              0.0012017
                     41,                 2.1656,                 2.4508,                  2.018,                0.37768,                0.13887,                0.09045,                0.03849,                 2.0606,                 2.8087,                 2.0218,              0.0012005,              0.0012005,              0.0012005
                     42,                 2.1462,                 2.4207,                 2.0021,                 0.3746,                0.12013,                0.08105,                0.03166,                 2.1366,                 2.5572,                 2.0861,              0.0011993,              0.0011993,              0.0011993
                     43,                 2.1207,                 2.4333,                 1.9968,                0.36178,                 0.1322,                0.08787,                0.03713,                 2.1131,                 2.5437,                  2.039,               0.001198,               0.001198,               0.001198
