                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 8.2344,                 43.045,                 8.8085,                      0,                      0,                      0,                      0,                 7.9842,                 26.144,                 8.3148,               0.000275,               0.000275,               0.000275
                      2,                  7.835,                 37.177,                 8.3463,                      0,                      0,                      0,                      0,                 8.0184,                 26.405,                 8.3457,             0.00055136,             0.00055136,             0.00055136
                      3,                 7.4474,                 29.604,                 7.7135,                  1e-05,                0.00283,                  1e-05,                      0,                  8.181,                 27.436,                 8.5318,             0.00081634,             0.00081634,             0.00081634
                      4,                 7.2737,                 23.563,                 7.0068,                  1e-05,                0.00283,                  1e-05,                      0,                 8.1461,                 27.432,                 8.4603,              0.0010699,              0.0010699,              0.0010699
                      5,                 7.1115,                 18.734,                 6.4824,                0.00011,                0.03868,                 0.0002,                  4e-05,                 7.0467,                 19.278,                 6.8196,               0.001151,               0.001151,               0.001151
                      6,                 6.7735,                 16.636,                 6.0695,                0.00012,                0.03868,                0.00027,                  6e-05,                 7.2038,                 16.583,                 7.0117,              0.0011263,              0.0011263,              0.0011263
                      7,                 6.5351,                 15.305,                 5.9466,                0.00041,                0.04526,                0.00061,                0.00014,                  6.372,                 8.6861,                 6.7987,              0.0011015,              0.0011015,              0.0011015
                      8,                 6.3487,                 14.395,                 5.7776,                0.00075,                0.10546,                 0.0014,                0.00033,                 6.0752,                 8.0308,                 6.4311,              0.0010768,              0.0010768,              0.0010768
                      9,                 6.1187,                  12.86,                 5.5958,                0.00081,                0.10139,                0.00175,                0.00046,                 6.1026,                 8.4492,                 6.4075,               0.001052,               0.001052,               0.001052
                     10,                 6.0709,                 11.467,                 5.3038,                0.50665,                0.03351,                0.00388,                0.00093,                 6.1064,                 7.7081,                 5.3808,              0.0010273,              0.0010273,              0.0010273
                     11,                 5.8375,                 10.652,                 5.1212,                0.76549,                0.01877,                0.00374,                0.00087,                 6.0766,                 8.8419,                 5.4452,              0.0010025,              0.0010025,              0.0010025
