                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.2628,                 8.2244,                 4.3132,                  3e-05,                0.00698,                  2e-05,                      0,                 4.0278,                  6.258,                 4.1606,               0.000275,               0.000275,               0.000275
                      2,                 4.0669,                 7.4055,                 4.1341,                  2e-05,                0.00279,                  1e-05,                      0,                 4.0564,                 6.3589,                 4.1844,             0.00056194,             0.00056194,             0.00056194
                      3,                 3.8229,                 6.4853,                 3.8213,                  3e-05,                 0.0014,                  2e-05,                      0,                 4.1663,                 5.6484,                 4.3183,             0.00084832,             0.00084832,             0.00084832
                      4,                 3.6498,                 6.0245,                 3.5481,                  2e-05,                0.00279,                  1e-05,                      0,                 4.1709,                 6.7915,                 4.3189,              0.0011341,              0.0011341,              0.0011341
                      5,                 3.5394,                 5.5083,                 3.3593,                0.00038,                0.07155,                0.00077,                0.00016,                 3.5055,                 5.6934,                  3.474,              0.0012451,              0.0012451,              0.0012451
                      6,                  3.435,                 5.2582,                 3.1863,                0.00077,                  0.101,                0.00324,                0.00074,                  3.416,                 6.9348,                 3.3853,              0.0012438,              0.0012438,              0.0012438
                      7,                 3.3545,                 5.0803,                 3.1844,                0.50861,                0.01323,                0.00179,                0.00045,                  3.499,                 5.3362,                 10.598,              0.0012426,              0.0012426,              0.0012426
                      8,                 3.3077,                 4.9353,                 3.0854,                0.51795,                0.01305,                0.00292,                0.00103,                 3.2535,                 6.0482,                 3.7192,              0.0012413,              0.0012413,              0.0012413
                      9,                 3.2498,                 4.6613,                 3.0377,                0.51552,                0.03252,                0.00452,                0.00164,                 3.3116,                 5.8067,                 3.2063,              0.0012401,              0.0012401,              0.0012401
                     10,                 3.1583,                 4.3571,                 2.8756,                0.77733,                0.01606,                0.00559,                0.00173,                 3.2482,                 5.4039,                 3.2371,              0.0012389,              0.0012389,              0.0012389
                     11,                 3.0348,                 4.1634,                 2.7891,                0.77465,                0.01606,                 0.0099,                  0.003,                 3.0359,                 3.7881,                  2.861,              0.0012376,              0.0012376,              0.0012376
                     12,                 2.9571,                 3.9993,                 2.7468,                 0.7694,                0.02912,                0.01446,                 0.0045,                 3.0401,                 3.6169,                  2.804,              0.0012364,              0.0012364,              0.0012364
                     13,                 2.9682,                 3.9027,                 2.7188,                0.26636,                0.03815,                0.01287,                0.00369,                 2.7832,                 3.2943,                 2.7789,              0.0012351,              0.0012351,              0.0012351
                     14,                 2.8387,                 3.5462,                 2.6105,                0.53012,                 0.0241,                0.01606,                0.00474,                   2.77,                  3.576,                 2.8478,              0.0012339,              0.0012339,              0.0012339
                     15,                 2.7954,                 3.6269,                 2.5917,                0.29095,                0.05539,                0.02554,                 0.0083,                 2.6432,                 3.2702,                 2.6258,              0.0012327,              0.0012327,              0.0012327
                     16,                 2.7781,                  3.528,                 2.5703,                0.28331,                0.05963,                0.02545,                 0.0071,                 2.7327,                 3.8461,                 2.6205,              0.0012314,              0.0012314,              0.0012314
                     17,                 2.7677,                 3.3946,                 2.5444,                0.29863,                0.05116,                0.02138,                0.00633,                 2.6731,                 3.1634,                  2.559,              0.0012302,              0.0012302,              0.0012302
                     18,                 2.7067,                 3.2087,                 2.4319,                 0.3184,                 0.0656,                0.03579,                0.01151,                 2.5547,                 3.0908,                 2.5101,               0.001229,               0.001229,               0.001229
                     19,                 2.6298,                 3.1953,                 2.4444,                0.30774,                0.08594,                0.03153,                0.01039,                 2.6134,                 3.2384,                 2.5591,              0.0012277,              0.0012277,              0.0012277
                     20,                 2.6036,                 3.1794,                 2.3983,                0.30557,                0.08127,                0.02517,                0.00735,                 2.6922,                 3.1606,                 2.5351,              0.0012265,              0.0012265,              0.0012265
                     21,                 2.5744,                  3.157,                 2.3526,                0.34369,                0.08206,                0.04384,                0.01579,                 2.4828,                 3.1017,                 2.4589,              0.0012252,              0.0012252,              0.0012252
                     22,                 2.5671,                 3.0693,                  2.354,                0.30475,                0.06613,                0.03529,                0.01192,                 2.4637,                 2.9762,                 2.4122,               0.001224,               0.001224,               0.001224
                     23,                 2.4839,                 2.9618,                  2.263,                0.32534,                0.06495,                0.04465,                0.01482,                 2.4709,                 3.0211,                 2.3868,              0.0012228,              0.0012228,              0.0012228
                     24,                 2.5542,                 2.9188,                 2.3616,                0.32431,                0.12728,                0.05827,                0.01883,                 2.3968,                 2.8494,                 2.3446,              0.0012215,              0.0012215,              0.0012215
                     25,                 2.4434,                 2.8809,                 2.2852,                 0.3437,                0.05133,                0.05671,                0.01986,                 2.3375,                 2.8933,                 2.4255,              0.0012203,              0.0012203,              0.0012203
                     26,                 2.4186,                 2.8081,                 2.2061,                 0.3369,                0.09135,                0.04863,                0.01724,                  2.331,                 2.8492,                 2.3493,              0.0012191,              0.0012191,              0.0012191
                     27,                  2.392,                  2.791,                 2.2147,                0.31707,                0.10515,                0.05409,                0.02043,                 2.2869,                 3.0834,                 2.2672,              0.0012178,              0.0012178,              0.0012178
                     28,                 2.4038,                 2.8385,                 2.2163,                0.36879,                0.10183,                0.06632,                0.02343,                 2.2763,                  2.724,                 2.2424,              0.0012166,              0.0012166,              0.0012166
                     29,                 2.3951,                 2.7486,                 2.2103,                0.32084,                 0.1076,                0.05993,                0.02275,                 2.3105,                 2.7712,                 2.2823,              0.0012154,              0.0012154,              0.0012154
                     30,                 2.3445,                 2.6917,                 2.1724,                0.08351,                0.13065,                 0.0728,                 0.0282,                 2.1887,                 2.6491,                 2.1583,              0.0012141,              0.0012141,              0.0012141
                     31,                 2.3581,                  2.697,                 2.1875,                0.35202,                0.13034,                0.07519,                0.02845,                 2.2714,                 2.6512,                 2.2047,              0.0012129,              0.0012129,              0.0012129
                     32,                 2.2733,                 2.6022,                 2.1015,                0.37972,                0.10327,                0.07362,                0.02897,                 2.2144,                 2.7526,                 2.2188,              0.0012116,              0.0012116,              0.0012116
                     33,                 2.2693,                 2.6556,                 2.1232,                0.09746,                0.13239,                0.07159,                0.02857,                 2.2448,                 2.5887,                 2.1958,              0.0012104,              0.0012104,              0.0012104
                     34,                 2.2418,                  2.564,                 2.0787,                0.08204,                0.15653,                0.08045,                0.02839,                 2.1881,                 2.7877,                  2.178,              0.0012092,              0.0012092,              0.0012092
                     35,                 2.2596,                 2.6111,                  2.111,                0.34285,                0.12154,                0.07635,                0.03058,                 2.1959,                 2.8005,                 2.1493,              0.0012079,              0.0012079,              0.0012079
                     36,                 2.2335,                 2.6121,                 2.1027,                0.38616,                0.11525,                0.09534,                0.03938,                 2.2176,                 2.7039,                 2.1425,              0.0012067,              0.0012067,              0.0012067
                     37,                 2.1876,                 2.5436,                 2.0442,                0.37068,                0.12877,                0.09188,                0.03908,                 2.0847,                 2.5394,                 2.0804,              0.0012055,              0.0012055,              0.0012055
                     38,                 2.1917,                 2.5348,                 2.0372,                0.12072,                0.13613,                 0.0762,                0.03148,                 2.1069,                 2.7185,                 2.1391,              0.0012042,              0.0012042,              0.0012042
                     39,                  2.209,                 2.4482,                 2.0291,                0.34497,                0.11986,                0.07748,                0.02947,                 2.1901,                  2.683,                 2.1642,               0.001203,               0.001203,               0.001203
                     40,                 2.1922,                 2.5439,                 2.0352,                 0.3544,                0.11825,                0.08348,                0.03463,                 2.1485,                 2.5436,                 2.1356,              0.0012017,              0.0012017,              0.0012017
                     41,                 2.1656,                 2.4508,                  2.018,                0.35837,                0.16451,                0.09873,                0.04042,                 2.0242,                   2.81,                 2.0393,              0.0012005,              0.0012005,              0.0012005
                     42,                 2.1462,                 2.4207,                 2.0021,                0.38104,                0.11694,                 0.0976,                0.03844,                 2.1119,                 2.5495,                 2.0828,              0.0011993,              0.0011993,              0.0011993
                     43,                 2.1207,                 2.4333,                 1.9968,                0.38443,                0.13104,                0.10432,                  0.045,                 2.0627,                   2.56,                 2.0282,               0.001198,               0.001198,               0.001198
                     44,                 2.2123,                 2.5248,                  2.061,                0.15581,                 0.1945,                0.10033,                0.03953,                 2.1183,                 2.6192,                 2.0797,              0.0011968,              0.0011968,              0.0011968
                     45,                 2.1653,                  2.413,                 1.9969,                0.37014,                0.13466,                0.08687,                0.03692,                 2.0912,                 2.9928,                 2.0648,              0.0011955,              0.0011955,              0.0011955
                     46,                 2.0888,                 2.4147,                 2.0254,                0.09697,                0.16622,                0.10126,                0.04031,                 2.0779,                 2.5692,                 2.0483,              0.0011943,              0.0011943,              0.0011943
                     47,                 2.0798,                  2.312,                 1.9228,                0.16406,                0.18666,                0.09951,                0.04101,                 1.9838,                 2.6068,                 2.0068,              0.0011931,              0.0011931,              0.0011931
                     48,                 2.0964,                  2.358,                 1.9554,                0.17402,                0.16728,                0.10353,                0.04625,                 2.0046,                 2.5393,                 1.9937,              0.0011918,              0.0011918,              0.0011918
                     49,                 2.0604,                 2.3854,                  1.938,                0.09971,                0.18856,                 0.1109,                0.04809,                 1.9657,                 2.4746,                 1.9547,              0.0011906,              0.0011906,              0.0011906
                     50,                 2.0973,                 2.4095,                 1.9627,                0.12882,                0.18016,                0.09594,                0.04272,                 2.0171,                 2.6204,                 2.0399,              0.0011894,              0.0011894,              0.0011894
                     51,                 2.0572,                 2.3137,                 1.9366,                0.38855,                0.17103,                0.13133,                0.05847,                  1.872,                 2.2709,                 1.9066,              0.0011881,              0.0011881,              0.0011881
                     52,                 1.9928,                 2.2709,                 1.8771,                0.16299,                 0.1465,                0.10176,                0.04781,                 1.9908,                 2.4539,                 2.0078,              0.0011869,              0.0011869,              0.0011869
                     53,                 2.0046,                 2.3098,                  1.904,                0.40741,                0.13671,                0.10967,                0.05198,                 1.9058,                 2.6488,                  1.948,              0.0011856,              0.0011856,              0.0011856
                     54,                 1.9747,                 2.2963,                 1.8767,                 0.2507,                0.18583,                0.11875,                0.05267,                 1.9423,                 2.3357,                 1.9549,              0.0011844,              0.0011844,              0.0011844
                     55,                 2.0149,                 2.2499,                 1.8974,                0.12478,                0.18411,                 0.1344,                0.05986,                  1.891,                 2.2481,                 1.9263,              0.0011832,              0.0011832,              0.0011832
                     56,                 2.0117,                 2.2369,                 1.8914,                0.19363,                0.17851,                0.13191,                0.05341,                 1.9934,                 2.3839,                 1.9441,              0.0011819,              0.0011819,              0.0011819
