                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 4.4035,                 5.4612,                 3.8032,                0.34036,                0.10089,                0.05848,                 0.0226,                 4.3984,                 5.3482,                 3.9788,              0.0004085,              0.0004085,              0.0004085
                     36,                 4.3936,                 5.5795,                 3.8275,                0.35144,                0.11036,                0.06017,                0.02295,                 4.2703,                 5.3174,                 3.9291,             0.00038375,             0.00038375,             0.00038375
                     37,                 4.2298,                  5.458,                 3.7371,                0.58476,                0.10858,                0.05877,                0.02228,                 4.3209,                 5.2834,                 3.9232,               0.000359,               0.000359,               0.000359
                     38,                 4.3526,                 5.3235,                 3.7067,                0.32586,                0.10601,                0.05654,                0.02198,                 4.4116,                 5.4487,                  3.978,             0.00033425,             0.00033425,             0.00033425
                     39,                 4.3336,                 5.2592,                 3.7316,                0.36061,                0.10382,                0.07094,                0.02821,                   4.27,                 5.1918,                 3.9267,              0.0003095,              0.0003095,              0.0003095
                     40,                 4.3316,                 5.3076,                 3.7461,                0.60718,                0.12142,                0.07186,                0.02711,                 4.2478,                 5.0534,                 3.8748,             0.00028475,             0.00028475,             0.00028475
                     41,                 4.3058,                 5.7561,                 3.8064,                0.36209,                0.08017,                0.06435,                0.02381,                 4.2352,                 5.4437,                 3.9221,                0.00026,                0.00026,                0.00026
                     42,                 4.2138,                 5.4975,                 3.7853,                0.35846,                 0.0296,                0.02871,                0.01257,                 5.0228,                 7.7774,                 4.6556,             0.00023525,             0.00023525,             0.00023525
                     43,                 4.1643,                 5.3707,                 3.7991,                0.51103,                 0.0308,                0.03106,                0.01304,                  5.016,                 8.0248,                 4.6915,              0.0002105,              0.0002105,              0.0002105
                     44,                 4.1448,                 5.2791,                 3.7644,                0.34124,                0.10882,                0.07518,                0.03223,                  4.091,                 5.1819,                 3.7919,             0.00018575,             0.00018575,             0.00018575
                     45,                 4.1366,                 5.2837,                 3.7386,                0.36121,                0.13173,                0.09108,                0.03773,                 4.0351,                 4.9126,                 3.7398,               0.000161,               0.000161,               0.000161
                     46,                 4.0562,                 5.2179,                 3.7495,                0.36538,                0.15602,                0.08338,                0.03546,                 4.0199,                 4.9527,                 3.7269,             0.00013625,             0.00013625,             0.00013625
                     47,                 3.9689,                 5.1649,                 3.6402,                0.35511,                0.15224,                0.08064,                0.03612,                 3.9739,                 4.8893,                 3.7051,              0.0001115,              0.0001115,              0.0001115
                     48,                 3.9521,                 5.1022,                 3.6239,                0.36113,                 0.1417,                0.08968,                0.03963,                 3.9587,                 4.8044,                  3.693,              8.675e-05,              8.675e-05,              8.675e-05
                     49,                  3.983,                 5.0676,                 3.6374,                0.37537,                0.13644,                 0.0941,                0.04136,                 3.9482,                 4.8238,                 3.6862,                6.2e-05,                6.2e-05,                6.2e-05
                     50,                 3.9462,                 5.0765,                 3.6357,                0.37109,                0.14354,                0.09805,                0.04449,                 3.9001,                 4.7638,                 3.6526,              3.725e-05,              3.725e-05,              3.725e-05
