                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  8.379,                 45.302,                 8.6678,                      0,                      0,                      0,                      0,                  8.185,                 28.199,                  8.316,               0.000275,               0.000275,               0.000275
                      2,                 7.8646,                  36.18,                  8.323,                      0,                      0,                      0,                      0,                 8.2299,                 28.629,                 8.3551,             0.00055136,             0.00055136,             0.00055136
                      3,                 7.3888,                 25.822,                   7.69,                      0,                      0,                      0,                      0,                 8.4719,                  30.99,                 8.7667,             0.00081634,             0.00081634,             0.00081634
                      4,                 7.1085,                 20.359,                 7.0055,                      0,                      0,                      0,                      0,                 8.4003,                 11.074,                 8.4708,              0.0010699,              0.0010699,              0.0010699
                      5,                  7.052,                 15.848,                 6.4801,                0.00031,                0.03325,                0.00044,                0.00011,                 7.1688,                 8.8136,                 6.8692,               0.001151,               0.001151,               0.001151
                      6,                 6.8229,                 13.517,                 6.0381,                0.00025,                0.02691,                0.00016,                  3e-05,                 7.0654,                 7.9335,                  6.601,              0.0011263,              0.0011263,              0.0011263
                      7,                 6.5839,                 12.176,                 5.9704,                 0.0006,                 0.0773,                0.00108,                0.00033,                 6.4587,                  7.591,                 6.1586,              0.0011015,              0.0011015,              0.0011015
                      8,                 6.3279,                 11.127,                 5.6857,                0.00147,                0.15344,                0.00229,                0.00054,                 6.3153,                 7.4523,                 5.7842,              0.0010768,              0.0010768,              0.0010768
                      9,                 6.1417,                 10.097,                  5.604,                0.00199,                0.19585,                 0.0041,                0.00102,                 6.1343,                  7.337,                 5.5857,               0.001052,               0.001052,               0.001052
                     10,                 6.0931,                 9.1784,                 5.3615,                0.27417,                0.01348,                0.00685,                0.00185,                 6.0326,                  7.411,                 5.4673,              0.0010273,              0.0010273,              0.0010273
                     11,                 5.8903,                 8.7101,                 5.1992,                0.00921,                0.04447,                0.00524,                 0.0015,                 5.8065,                 7.2428,                 5.5663,              0.0010025,              0.0010025,              0.0010025
                     12,                 5.7828,                 8.3761,                 5.1919,                0.01569,                0.02224,                0.00883,                0.00271,                 5.6391,                 6.8425,                 5.3752,             0.00097775,             0.00097775,             0.00097775
                     13,                 5.6499,                 8.1581,                 5.0551,                0.26277,                0.13798,                0.01285,                0.00415,                 5.4353,                 6.8186,                  5.206,               0.000953,               0.000953,               0.000953
