                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  8.379,                 45.302,                 8.6678,                      0,                      0,                      0,                      0,                 8.0269,                 26.084,                 8.3152,               0.000275,               0.000275,               0.000275
                      2,                 7.8646,                  36.18,                  8.323,                      0,                      0,                      0,                      0,                 8.0793,                 26.471,                 8.3498,             0.00055136,             0.00055136,             0.00055136
                      3,                 7.3888,                 25.822,                   7.69,                  3e-05,                0.00101,                  3e-05,                  1e-05,                 8.3491,                 28.486,                  8.767,             0.00081634,             0.00081634,             0.00081634
                      4,                 7.1085,                 20.359,                 7.0055,                  2e-05,                0.00101,                  1e-05,                      0,                 8.2114,                   10.8,                 8.4731,              0.0010699,              0.0010699,              0.0010699
                      5,                  7.052,                 15.848,                 6.4801,                0.00035,                0.03804,                0.00057,                0.00012,                 7.0651,                 8.7576,                 6.7921,               0.001151,               0.001151,               0.001151
                      6,                 6.8229,                 13.517,                 6.0381,                0.00029,                0.02935,                0.00018,                  4e-05,                 7.0138,                 7.9111,                 6.4978,              0.0011263,              0.0011263,              0.0011263
                      7,                 6.5839,                 12.176,                 5.9704,                0.00075,                 0.0927,                 0.0015,                0.00047,                 6.3941,                 7.6109,                 6.1296,              0.0011015,              0.0011015,              0.0011015
                      8,                 6.3279,                 11.127,                 5.6857,                0.25344,                0.01854,                0.00392,                0.00134,                 6.2787,                 7.4354,                  5.748,              0.0010768,              0.0010768,              0.0010768
                      9,                 6.1417,                 10.097,                  5.604,                0.00198,                0.20244,                0.00498,                0.00131,                 6.0932,                 7.3176,                 5.5587,               0.001052,               0.001052,               0.001052
                     10,                 6.0931,                 9.1784,                 5.3615,                0.27067,                0.01918,                0.00653,                0.00171,                 6.0183,                 7.3642,                 5.4584,              0.0010273,              0.0010273,              0.0010273
                     11,                 5.8903,                 8.7101,                 5.1992,                0.00873,                0.06831,                0.00534,                0.00153,                 5.8196,                 7.2861,                 5.5946,              0.0010025,              0.0010025,              0.0010025
                     12,                 5.7828,                 8.3761,                 5.1919,                0.02331,                0.03628,                0.00913,                 0.0028,                 5.6717,                 6.8829,                 5.4051,             0.00097775,             0.00097775,             0.00097775
                     13,                 5.6499,                 8.1581,                 5.0551,                 0.2628,                0.13851,                0.01304,                0.00458,                 5.5403,                 6.8648,                 5.2483,               0.000953,               0.000953,               0.000953
                     14,                 5.5604,                 7.5895,                 4.9397,                0.27779,                0.02174,                0.01328,                0.00346,                 5.5776,                  6.569,                 5.1945,             0.00092825,             0.00092825,             0.00092825
                     15,                 5.4658,                 7.5655,                 4.8792,                 0.2986,                0.04129,                0.01883,                0.00553,                 5.2885,                 6.4717,                  5.019,              0.0009035,              0.0009035,              0.0009035
                     16,                 5.5002,                 7.3645,                 4.8765,                0.30998,                0.02717,                0.02107,                0.00716,                  5.179,                 6.3147,                 4.9214,             0.00087875,             0.00087875,             0.00087875
                     17,                 5.3512,                 7.1995,                 4.7536,                0.31608,                  0.056,                0.02857,                0.00895,                 5.2401,                 6.6092,                 4.7609,               0.000854,               0.000854,               0.000854
                     18,                 5.2913,                 6.8324,                  4.575,                0.33039,                0.03767,                0.03019,                0.00829,                 5.1451,                 6.0601,                 4.6179,             0.00082925,             0.00082925,             0.00082925
                     19,                 5.1666,                 6.8303,                 4.5751,                0.31436,                0.04462,                0.02998,                 0.0096,                 5.0916,                 5.9867,                 4.6654,              0.0008045,              0.0008045,              0.0008045
                     20,                 5.0878,                 6.7348,                 4.4821,                0.32293,                0.03969,                  0.034,                0.01079,                 4.9685,                 6.1673,                 4.6804,             0.00077975,             0.00077975,             0.00077975
                     21,                 5.0389,                 6.6658,                 4.3908,                0.33341,                0.06196,                0.03845,                0.01181,                 4.9584,                 6.1973,                 4.5419,               0.000755,               0.000755,               0.000755
                     22,                 4.9556,                 6.4527,                  4.348,                0.34121,                0.03436,                0.04174,                 0.0116,                 5.0032,                 6.2067,                  4.571,             0.00073025,             0.00073025,             0.00073025
                     23,                 4.8435,                 6.2923,                 4.2374,                0.34534,                0.06628,                0.04866,                0.01672,                 4.8154,                 5.8832,                 4.4823,              0.0007055,              0.0007055,              0.0007055
                     24,                 4.9434,                 6.3503,                 4.3285,                0.31162,                0.07405,                0.03539,                 0.0113,                 4.7699,                 6.1947,                 4.3527,             0.00068075,             0.00068075,             0.00068075
                     25,                 4.8821,                 6.3646,                 4.2632,                0.33118,                 0.0598,                0.04296,                 0.0141,                 4.6666,                  5.711,                 4.3127,               0.000656,               0.000656,               0.000656
                     26,                 4.8419,                 6.0713,                 4.1362,                0.33043,                0.07272,                0.04668,                0.01586,                 4.7106,                 5.5834,                  4.191,             0.00063125,             0.00063125,             0.00063125
                     27,                 4.7287,                 6.0542,                 4.1392,                0.34308,                0.07251,                0.04714,                0.01567,                 4.8589,                  5.637,                 4.2341,              0.0006065,              0.0006065,              0.0006065
                     28,                 4.7978,                  6.252,                 4.1326,                0.34142,                0.10565,                0.06449,                0.02431,                 4.5162,                  5.383,                 4.0824,             0.00058175,             0.00058175,             0.00058175
                     29,                 4.6655,                 5.9123,                 4.0221,                0.36944,                0.07198,                0.06394,                0.02283,                 4.4877,                  5.726,                 4.1833,               0.000557,               0.000557,               0.000557
                     30,                 4.5786,                 5.7647,                 3.9696,                 0.3684,                0.08892,                0.06864,                0.02462,                 4.5013,                   5.37,                 4.0664,             0.00053225,             0.00053225,             0.00053225
                     31,                 4.6141,                 5.7811,                 3.9829,                0.35251,                0.10043,                0.06539,                0.02367,                 4.4137,                 5.2731,                 3.9908,              0.0005075,              0.0005075,              0.0005075
                     32,                 4.4968,                 5.6115,                 3.8996,                0.29939,                0.11471,                 0.0665,                0.02422,                  4.559,                 5.3294,                 4.0509,             0.00048275,             0.00048275,             0.00048275
                     33,                 4.5391,                 5.7696,                 3.9357,                0.34737,                 0.1098,                0.06648,                 0.0243,                 4.2891,                  5.274,                  3.911,               0.000458,               0.000458,               0.000458
                     34,                 4.3902,                 5.4594,                  3.797,                  0.358,                0.10741,                0.08038,                0.03175,                 4.3129,                 5.1081,                 3.9579,             0.00043325,             0.00043325,             0.00043325
                     35,                 4.4035,                 5.4612,                 3.8032,                0.35679,                0.11263,                0.06878,                0.02568,                 4.3259,                 5.1559,                 3.9207,              0.0004085,              0.0004085,              0.0004085
                     36,                 4.3936,                 5.5795,                 3.8275,                0.35767,                0.11226,                0.07199,                0.02701,                 4.2011,                 5.1199,                 3.8402,             0.00038375,             0.00038375,             0.00038375
                     37,                 4.2298,                  5.458,                 3.7371,                0.59386,                0.11641,                0.07979,                0.03066,                 4.2219,                 5.0998,                 3.8323,               0.000359,               0.000359,               0.000359
                     38,                 4.3526,                 5.3235,                 3.7067,                0.41207,                0.12258,                0.07833,                0.02866,                 4.2904,                 5.1818,                 3.8765,             0.00033425,             0.00033425,             0.00033425
                     39,                 4.3336,                 5.2592,                 3.7316,                0.44613,                0.12419,                0.08873,                0.03407,                 4.2027,                 4.9649,                 3.8411,              0.0003095,              0.0003095,              0.0003095
                     40,                 4.3316,                 5.3076,                 3.7461,                 0.6087,                0.13873,                0.09152,                0.03241,                 4.1697,                 4.8829,                 3.8017,             0.00028475,             0.00028475,             0.00028475
                     41,                 4.3058,                 5.7561,                 3.8064,                0.42663,                0.08743,                0.07265,                0.02731,                 4.1827,                 5.2992,                 3.8395,                0.00026,                0.00026,                0.00026
                     42,                 4.2138,                 5.4975,                 3.7853,                0.39072,                   0.03,                 0.0417,                 0.0193,                 4.9762,                 7.5774,                 4.5783,             0.00023525,             0.00023525,             0.00023525
                     43,                 4.1643,                 5.3707,                 3.7991,                0.52145,                0.02978,                0.03974,                0.01753,                 4.9548,                 7.8445,                  4.605,              0.0002105,              0.0002105,              0.0002105
                     44,                 4.1448,                 5.2791,                 3.7644,                0.39298,                 0.1174,                0.08763,                0.03608,                 4.0486,                 5.0116,                 3.6825,             0.00018575,             0.00018575,             0.00018575
                     45,                 4.1366,                 5.2837,                 3.7386,                 0.4577,                0.15863,                0.11121,                0.04383,                 3.9761,                  4.712,                 3.6257,               0.000161,               0.000161,               0.000161
                     46,                 4.0562,                 5.2179,                 3.7495,                0.48422,                0.16104,                0.10393,                0.04349,                 3.9783,                 4.7464,                 3.6326,             0.00013625,             0.00013625,             0.00013625
                     47,                 3.9689,                 5.1649,                 3.6402,                0.43878,                0.16383,                0.09649,                0.04221,                 3.9235,                 4.6994,                 3.6041,              0.0001115,              0.0001115,              0.0001115
                     48,                 3.9521,                 5.1022,                 3.6239,                0.45158,                0.15493,                0.10879,                 0.0463,                 3.9221,                 4.6289,                 3.5992,              8.675e-05,              8.675e-05,              8.675e-05
                     49,                  3.983,                 5.0676,                 3.6374,                0.45402,                0.15674,                0.11196,                0.04688,                 3.9044,                 4.6298,                 3.5903,                6.2e-05,                6.2e-05,                6.2e-05
                     50,                 3.9462,                 5.0765,                 3.6357,                0.46008,                 0.1561,                0.11319,                0.04876,                 3.8502,                 4.5819,                 3.5601,              3.725e-05,              3.725e-05,              3.725e-05
