                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 8.2344,                 43.045,                 8.8085,                      0,                      0,                      0,                      0,                 7.9778,                 26.511,                 8.3139,               0.000275,               0.000275,               0.000275
                      2,                  7.835,                 37.177,                 8.3463,                      0,                      0,                      0,                      0,                 8.0013,                 26.767,                 8.3422,             0.00055136,             0.00055136,             0.00055136
                      3,                 7.4474,                 29.604,                 7.7135,                  1e-05,                0.00203,                  1e-05,                      0,                  8.128,                 27.817,                 8.5222,             0.00081634,             0.00081634,             0.00081634
                      4,                 7.2737,                 23.563,                 7.0068,                  1e-05,                0.00203,                  1e-05,                      0,                 8.1045,                 27.804,                 8.4597,              0.0010699,              0.0010699,              0.0010699
                      5,                 7.1115,                 18.734,                 6.4824,                  9e-05,                0.03354,                0.00017,                  4e-05,                 7.0952,                 19.532,                 6.8531,               0.001151,               0.001151,               0.001151
                      6,                 6.7735,                 16.636,                 6.0695,                 0.0001,                0.03354,                0.00015,                  3e-05,                 7.2921,                 16.903,                   7.11,              0.0011263,              0.0011263,              0.0011263
                      7,                 6.5351,                 15.305,                 5.9466,                0.00034,                0.04204,                0.00039,                 0.0001,                 6.4169,                  8.735,                 6.7436,              0.0011015,              0.0011015,              0.0011015
                      8,                 6.3487,                 14.395,                 5.7776,                 0.0008,                0.11396,                0.00137,                0.00029,                  6.202,                 8.0374,                 6.4239,              0.0010768,              0.0010768,              0.0010768
                      9,                 6.1187,                  12.86,                 5.5958,                0.00082,                0.10184,                0.00177,                0.00047,                 6.2254,                 8.4144,                 6.3764,               0.001052,               0.001052,               0.001052
