                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  8.379,                 45.302,                 8.6678,                      0,                      0,                      0,                      0,                 8.0567,                 27.072,                 8.3153,               0.000275,               0.000275,               0.000275
                      2,                 7.8646,                  36.18,                  8.323,                      0,                      0,                      0,                      0,                 8.1064,                 27.458,                 8.3488,             0.00055136,             0.00055136,             0.00055136
                      3,                 7.3888,                 25.822,                   7.69,                  3e-05,                0.00106,                  3e-05,                  1e-05,                 8.3895,                 29.562,                 8.7466,             0.00081634,             0.00081634,             0.00081634
                      4,                 7.1085,                 20.359,                 7.0055,                  2e-05,                0.00106,                  1e-05,                      0,                 8.2996,                 10.972,                 8.4588,              0.0010699,              0.0010699,              0.0010699
                      5,                  7.052,                 15.848,                 6.4801,                0.00026,                0.03012,                0.00027,                  7e-05,                  7.023,                 8.8287,                 6.7687,               0.001151,               0.001151,               0.001151
                      6,                 6.8229,                 13.517,                 6.0381,                0.00019,                0.02013,                0.00012,                  3e-05,                 6.9793,                 7.9129,                  6.495,              0.0011263,              0.0011263,              0.0011263
                      7,                 6.5839,                 12.176,                 5.9704,                0.00061,                0.07811,                0.00117,                0.00037,                  6.382,                 7.6034,                 6.1185,              0.0011015,              0.0011015,              0.0011015
                      8,                 6.3279,                 11.127,                 5.6857,                0.25174,                0.12452,                 0.0021,                0.00055,                 6.2831,                 7.5372,                 5.7758,              0.0010768,              0.0010768,              0.0010768
                      9,                 6.1417,                 10.097,                  5.604,                 0.0018,                0.19242,                0.00406,                0.00103,                 6.0912,                 7.4438,                 5.5913,               0.001052,               0.001052,               0.001052
                     10,                 6.0931,                 9.1784,                 5.3615,                0.25784,                0.02699,                0.00491,                0.00131,                 5.9973,                 7.4953,                 5.4687,              0.0010273,              0.0010273,              0.0010273
                     11,                 5.8903,                 8.7101,                 5.1992,                0.00351,                0.14379,                0.00472,                0.00126,                 5.9042,                 7.4301,                 5.6235,              0.0010025,              0.0010025,              0.0010025
                     12,                 5.7828,                 8.3761,                 5.1919,                0.04633,                0.02201,                0.00893,                0.00266,                 5.6585,                 7.0007,                 5.3857,             0.00097775,             0.00097775,             0.00097775
                     13,                 5.6499,                 8.1581,                 5.0551,                0.00369,                0.27091,                0.01205,                0.00404,                 5.5008,                 6.9272,                 5.2471,               0.000953,               0.000953,               0.000953
                     14,                 5.5604,                 7.5895,                 4.9397,                0.53011,                0.02273,                0.01453,                0.00367,                 5.5681,                 6.7203,                 5.1641,             0.00092825,             0.00092825,             0.00092825
                     15,                 5.4658,                 7.5655,                 4.8792,                0.31653,                0.04118,                0.01985,                0.00548,                 5.3248,                 6.6864,                  5.012,              0.0009035,              0.0009035,              0.0009035
                     16,                 5.5002,                 7.3645,                 4.8765,                0.32342,                0.02412,                0.02313,                0.00718,                 5.1917,                 6.3931,                 4.9171,             0.00087875,             0.00087875,             0.00087875
                     17,                 5.3512,                 7.1995,                 4.7536,                0.37178,                0.05763,                  0.029,                0.00891,                  5.188,                 6.7846,                 4.7269,               0.000854,               0.000854,               0.000854
